unique_ID,smiles,InChI,pka_type,pka_value,T,remarks,method,assessment,ref,ref_remarks,entry_remarks,original_IUPAC_names,name_contributors,num_name_contributors,original_IUPAC_nicknames,source,pressure,acidity_label,original_T,cosolvent,data_source,chembl_id,units,mol_hash
perrin1127,CN(C)Cc1cccnc1,"InChI=1S/C8H12N2/c1-10(2)7-8-4-3-5-9-6-8/h3-6H,7H2,1-2H3",pKaH1,8.0,25,"C=0.01, as dihydrobromide",E3dg,Uncertain,B14,,,"pyridine, 3-(dimethylaminomethyl)-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,ff44b7e2
perrin1128,CN(C)Cc1ccncc1,"InChI=1S/C8H12N2/c1-10(2)7-8-3-5-9-6-4-8/h3-6H,7H2,1-2H3",pKaH1,7.66,25,"C=0.01, as dihydrobromide",E3dg,Uncertain,B14,,,"pyridine, 4-(dimethylaminomethyl)-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,ebc05c08
perrin1129,Cc1cnccc1N(C)C,"InChI=1S/C8H12N2/c1-7-6-9-5-4-8(7)10(2)3/h4-6H,1-3H3",pKaH1,9.03,5.4,I between 0.0008 and 0.0057,E3bg,Approximate,E27,Thermodynamic quantities are derived from the results,,"pyridine, 4-dimethylamino-3-methyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,dc76979d
perrin1130,CN(C)c1ccc(N=Nc2ccccn2)cc1,"InChI=1S/C13H14N4/c1-17(2)12-8-6-11(7-9-12)15-16-13-5-3-4-10-14-13/h3-10H,1-2H3",pKaH1,4.5,25,“Mixed” constants,O5,Uncertain,K41,,,"pyridine, 2-(4-dimethylamino)phenylazo-",['manual_no_smiles'],1.0,,perrin,,AH,,,IUPAC_large,,,de8048c0
perrin1131,CN(C)c1ccc(N=Nc2ccncc2)cc1,"InChI=1S/C13H14N4/c1-17(2)13-5-3-11(4-6-13)15-16-12-7-9-14-10-8-12/h3-10H,1-2H3",pKaH1,5.8,25,“Mixed” constants,O5,Uncertain,K39,,,"pyridine, 4-(4-dimethylamino)phenylazo-",['manual_no_smiles'],1.0,,perrin,,AH,25+3,,IUPAC_large,,,5ae4a3be
perrin1132,Cc1cncc(C)c1N(C)C,"InChI=1S/C9H14N2/c1-7-5-10-6-8(2)9(7)11(3)4/h5-6H,1-4H3",pKaH1,8.55,5.4,I between 0.0008 and 0.0057,E3bg,Approximate,E27,Thermodynamic quantities are derived from the results,,"pyridine, 3,5-dimethyl-4-dimethylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,bc3e8d6f
perrin1133,CNc1c(C)cncc1C,"InChI=1S/C8H12N2/c1-6-4-10-5-7(2)8(6)9-3/h4-5H,1-3H3,(H,9,10)",pKaH1,9.89,5.4,I between 0.0008 and 0.0057,E3bg,Approximate,E27,Thermodynamic quantities are derived from the results,,"pyridine, 3,5-dimethyl-4-methylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,e2390bbb
perrin1134,c1ccc(-c2cccc(-c3ccccn3)n2)nc1,InChI=1S/C15H11N3/c1-3-10-16-12(6-1)14-8-5-9-15(18-14)13-7-2-4-11-17-13/h1-11H,pKaH1,4.33,0,I=0.1 and corrected to I=0 by assuming log f = -0.509z^2 I^[1/2] / (1 + I^[1/2]),O5,Uncertain,M22,,,"pyridine, 2,6-di(2-pyridyl)-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,4d7e8940
perrin1135,CCOc1ccncc1,"InChI=1S/C7H9NO/c1-2-9-7-3-5-8-6-4-7/h3-6H,2H2,1H3",pKaH1,6.67,20,,E3bg,Approximate,C38,,,"pyridine, 4-ethoxy-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,2525b161
perrin1136,CCOC(=O)c1cccnc1,"InChI=1S/C8H9NO2/c1-2-11-8(10)7-4-3-5-9-6-7/h3-6H,2H2,1H3",pKaH1,3.35,20,,E3bg,Approximate,C38,,,"pyridine, 3-ethoxycarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,9d2fe65c
perrin1137,CCOC(=O)c1ccncc1,"InChI=1S/C8H9NO2/c1-2-11-8(10)7-3-5-9-6-4-7/h3-6H,2H2,1H3",pKaH1,3.45,20,,E3bg,Approximate,C38,,,"pyridine, 4-ethoxycarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,b6786c59
perrin1138,CCc1ccccn1,"InChI=1S/C7H9N/c1-2-7-5-3-4-6-8-7/h3-6H,2H2,1H3",pKaH1,5.89,25,"C<10-3, I<0.015",O5,Approximate,A63,,,"pyridine, 2-ethyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,cba22d96
perrin1139,CCc1cccnc1,"InChI=1S/C7H9N/c1-2-7-4-3-5-8-6-7/h3-6H,2H2,1H3",pKaH1,5.56,25,"C<10-3, I<0.015",O5,Approximate,A63,,,"pyridine, 3-ethyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,657caa44
perrin1140,CCc1ccncc1,"InChI=1S/C7H9N/c1-2-7-3-5-8-6-4-7/h3-6H,2H2,1H3",pKaH1,5.87,25,"C<10-3, I<0.015",O5,Approximate,A63,,,"pyridine, 4-ethyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,a8b6b0dc
perrin1141,CCc1cccnc1O,"InChI=1S/C7H9NO/c1-2-6-4-3-5-8-7(6)9/h3-5H,2H2,1H3,(H,8,9)",pKaH1,5.0,25,I=0.01,E3ah,Approximate,H16,,,"pyridine, 3-ethyl-2-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,396efe4b
perrin1142,CCc1cncc(C)c1,"InChI=1S/C8H11N/c1-3-8-4-7(2)5-9-6-8/h4-6H,3H2,1-2H3",pKaH1,6.3,,,,,G42,,,"pyridine, 3-ethyl-5-methyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,0cb7d382
perrin1143,CCc1ccc(C)nc1,"InChI=1S/C8H11N/c1-3-8-5-4-7(2)9-6-8/h4-6H,3H2,1-2H3",pKaH1,6.51,20,,E3bg,Approximate,C38,,,"pyridine, 3-ethyl-6-methyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,a9321df0
perrin1144,CCc1cnccc1NC,"InChI=1S/C8H12N2/c1-3-7-6-10-5-4-8(7)9-2/h4-6H,3H2,1-2H3,(H,9,10)",pKaH1,10.35,5.4,I between 0.0008 and 0.0057,E3bg,Approximate,E27,Thermodynamic quantities are derived from the results,,"pyridine, 3-ethyl-4-methylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,71dd81bf
perrin1145,CCN1CCCC=C1C,"InChI=1S/C8H15N/c1-3-9-7-5-4-6-8(9)2/h6H,3-5,7H2,1-2H3",pKaH1,11.53,25,C=0.02,E3dg,Approximate,A6,,,"pyridine, 1-ethyl-1,4,5,6-tetrahydro-2-methyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,2c09fbe4
perrin1146,Fc1ccccn1,InChI=1S/C5H4FN/c6-5-3-1-2-4-7-5/h1-4H,pKaH1,-0.44,25,In aq. solutions,O6,Uncertain,B127,,,"pyridine, 2-fluoro-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,10c829ce
perrin1147,Fc1cccnc1,InChI=1S/C5H4FN/c6-5-2-1-3-7-4-5/h1-4H,pKaH1,2.97,25,In aq. solutions,O6,Approximate,B127,,,"pyridine, 3-fluoro-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,c78d4639
perrin1148,O=Cc1ccccn1,InChI=1S/C6H5NO/c8-5-6-3-1-2-4-7-6/h1-5H,pKaH1,3.8,20,"C=10-4, I=0.2(KNO3), ""mixed"" constants",O5,Approximate,N2,,,"pyridine, 2-formyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,516abefb
perrin1149,O=Cc1cccnc1,InChI=1S/C6H5NO/c8-5-6-2-1-3-7-4-6/h1-5H,pKaH1,3.8,20,"C=10-4, I=0.2(KNO3), ""mixed"" constants",O5,Approximate,N2,,,"pyridine, 3-formyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,3d1ea505
perrin1150,O=Cc1ccncc1,InChI=1S/C6H5NO/c8-5-6-1-3-7-4-2-6/h1-5H,pKaH1,4.77,20,"C=10-4, I=0.2(KNO3), ""mixed"" constants",O5,Approximate,N2,,,"pyridine, 4-formyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,a95bf4ee
perrin1151,O=Cc1ncccc1O,"InChI=1S/C6H5NO2/c8-4-5-6(9)2-1-3-7-5/h1-4,9H",pKaH1,3.4,20,"C=10-4, I=0.2(KNO3), ""mixed"" constants",O5,Approximate,N3,,,"pyridine, 2-formyl-3-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,b857d686
perrin1152,O=Cc1ccncc1O,"InChI=1S/C6H5NO2/c8-4-5-1-2-7-3-6(5)9/h1-4,9H",pKaH1,4.05,20,"C=10-4, I=0.2(KNO3), ""mixed"" constants",O5,Approximate,N3,,,"pyridine, 4-formyl-3-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,a6647f73
perrin1153,COc1cccnc1C=O,"InChI=1S/C7H7NO2/c1-10-7-3-2-4-8-6(7)5-9/h2-5H,1H3",pKaH1,3.89,20,"C=10-4, I=0.2(KNO3), ""mixed"" constants",O5,Approximate,N3,,,"pyridine, 2-formyl-3-methoxy-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,54583a16
perrin1154,COc1cnccc1C=O,"InChI=1S/C7H7NO2/c1-10-7-4-8-3-2-6(7)5-9/h2-5H,1H3",pKaH1,4.45,20,"C=10-4, I=0.2(KNO3), ""mixed"" constants",O5,Approximate,N3,,,"pyridine, 4-formyl-3-methoxy-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,6b5bfcbe
perrin1155,CCCCCCc1ccccn1,"InChI=1S/C11H17N/c1-2-3-4-5-8-11-9-6-7-10-12-11/h6-7,9-10H,2-5,8H2,1H3",pKaH1,5.95,25,C=0.001,E3dg,Approximate,L50,,,"pyridine, 2-hexyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,e5a25d54
perrin1156,NNC(=O)c1ccccn1,"InChI=1S/C6H7N3O/c7-9-6(10)5-3-1-2-4-8-5/h1-4H,7H2,(H,9,10)",pKaH2,1.0,20,,E3b,Uncertain,A21,,,"pyridine, 2-hydrazinocarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,a4a1503e
perrin1157,NNC(=O)c1cccnc1,"InChI=1S/C6H7N3O/c7-9-6(10)5-2-1-3-8-4-5/h1-4H,7H2,(H,9,10)",pKaH2,1.86,20,,E3b,Uncertain,A21,,,"pyridine, 3-hydrazinocarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,4c5244ec
perrin1158,NNC(=O)c1ccncc1,"InChI=1S/C6H7N3O/c7-9-6(10)5-1-3-8-4-2-5/h1-4H,7H2,(H,9,10)",pKaH2,1.82,20,C=0.002,E3bg,Uncertain,A16,,,"pyridine, 4-hydrazinocarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,1a212be9
perrin1159,Oc1ccccn1,"InChI=1S/C5H5NO/c7-5-3-1-2-4-6-5/h1-4H,(H,6,7)",pKaH1,0.75,20,"C=10-4, in aq. H2SO4 solutions",O6,Approximate,A50,,,"pyridine, 2-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,H2SO4,IUPAC_large,,,bcdfbf41
perrin1160,Oc1cccnc1,"InChI=1S/C5H5NO/c7-5-2-1-3-6-4-5/h1-4,7H",pKaH1,4.79,20,C=0.05,E3bg,Approximate,A50,,,"pyridine, 3-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,077ad205
perrin1161,Oc1ccncc1,"InChI=1S/C5H5NO/c7-5-1-3-6-4-2-5/h1-4H,(H,6,7)",pKaH1,3.2,20,C=0.05,E3bg,Approximate,A50,,,"pyridine, 4-hydroxy-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,efd78cba
perrin1163,OC(c1ccccc1)(c1ccccc1)c1ccccn1,"InChI=1S/C18H15NO/c20-18(15-9-3-1-4-10-15,16-11-5-2-6-12-16)17-13-7-8-14-19-17/h1-14,20H",pKaH1,3.9,25,,O5,Uncertain,A80,,,"pyridine, 2-(hydroxydiphenylmethyl)-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,f7f939e1
perrin1164,OCc1ncccc1O,"InChI=1S/C6H7NO2/c8-4-5-6(9)2-1-3-7-5/h1-3,8-9H,4H2",pKaH1,5.0,20,"C=10.4, I=0.2(KNO3), ""mixed"" constants",O5,Approximate,N2,,,"pyridine, 3-hydroxy-2-hydroxymethyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,42ae3cd2
perrin1165,OCc1ccncc1O,"InChI=1S/C6H7NO2/c8-4-5-1-2-7-3-6(5)9/h1-3,8-9H,4H2",pKaH1,5.0,20,"C=10.4, I=0.2(KNO3), ""mixed"" constants",O5,Approximate,N2,,,"pyridine, 3-hydroxy-4-hydroxymethyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,632c99d5
perrin1166,Cc1ncc(CO)c(C)c1O,"InChI=1S/C8H11NO2/c1-5-7(4-10)3-9-6(2)8(5)11/h3,10-11H,4H2,1-2H3",pKaH1,5.4,16.5,"C=10-4, as hydrochloride, I not stated",O5,Uncertain,L67,,,"pyridine, 3-hydroxy-5-hydroxymethyl-2,4-dimethyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,16.5+0.5,,IUPAC_large,,,a42b2f37
perrin1167,Oc1ccccc1-c1ccccn1,"InChI=1S/C11H9NO/c13-11-7-2-1-5-9(11)10-6-3-4-8-12-10/h1-8,13H",pKaH1,4.19,20,,E3bg,Approximate,A52,,,"pyridine, 2-(2-hydroxyphenyl)-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,8e81c4f5
perrin1169,Ic1ccccn1,InChI=1S/C5H4IN/c6-5-3-1-2-4-7-5/h1-4H,pKaH1,1.82,25,In aq. HCl solutions,O6,Approximate,B127,,,"pyridine, 2-iodo-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,HCl,IUPAC_large,,,6c39d9d1
perrin1170,Ic1cccnc1,InChI=1S/C5H4IN/c6-5-2-1-3-7-4-5/h1-4H,pKaH1,3.25,25,In aq. HCl solutions,O6,Approximate,B127,,,"pyridine, 3-iodo-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,HCl,IUPAC_large,,,b4f94947
perrin1171,Ic1ccncc1,InChI=1S/C5H4IN/c6-5-1-3-7-4-2-5/h1-4H,pKaH1,4.02,20,,O5,Approximate,S66,,,"pyridine, 4-iodo-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,7a6a0f81
perrin1172,CC(C)c1ccccn1,"InChI=1S/C8H11N/c1-7(2)8-5-3-4-6-9-8/h3-7H,1-2H3",pKaH1,5.83,25,"C=10-4, 0.05M acetate buffers",O5,Approximate,B130,,,"pyridine, 2-isopropyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,25+1,,IUPAC_large,,,b59bd5c8
perrin1173,CC(C)c1cccnc1,"InChI=1S/C8H11N/c1-7(2)8-4-3-5-9-6-8/h3-7H,1-2H3",pKaH1,5.72,25,"C=10-4, 0.05M acetate buffers",O5,Approximate,B130,,,"pyridine, 3-isopropyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,25+1,,IUPAC_large,,,b16034ea
perrin1174,CC(C)c1ccncc1,"InChI=1S/C8H11N/c1-7(2)8-3-5-9-6-4-8/h3-7H,1-2H3",pKaH1,6.02,25,"C=10-4, 0.05M acetate buffers",O5,Approximate,B130,,,"pyridine, 4-isopropyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,25+1,,IUPAC_large,,,64e5de1c
perrin1175,CNc1ccncc1C(C)C,"InChI=1S/C9H14N2/c1-7(2)8-6-11-5-4-9(8)10-3/h4-7H,1-3H3,(H,10,11)",pKaH1,10.42,5.4,I between 0.0008 and 0.0057,E3bg,Approximate,E27,Thermodynamic quantities are derived from the results,,"pyridine, 3-isopropyl-4-methylamino-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,2054e489
perrin1176,Sc1ccccn1,"InChI=1S/C5H5NS/c7-5-3-1-2-4-6-5/h1-4H,(H,6,7)",pKaH1,-1.07,20,"C=10-4, in aq. H2SO4 solutions",O6,Approximate,A82,,,"pyridine, 2-mercapto-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,H2SO4,IUPAC_large,,,9f84dcf6
perrin1177,Sc1cccnc1,"InChI=1S/C5H5NS/c7-5-2-1-3-6-4-5/h1-4,7H",pKaH1,2.26,20,C=0.005,E3bg,Approximate,A28,,,"pyridine, 3-mercapto-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,6eb6adf1
perrin1178,Sc1ccncc1,"InChI=1S/C5H5NS/c7-5-1-3-6-4-2-5/h1-4H,(H,6,7)",pKaH1,1.48,20,"C=2.5x10-4, in aq. H2SO4 solutions",O6,Approximate,A28,,,"pyridine, 4-mercapto-",['manual_inconsistent'],1.0,,perrin,,AH,,H2SO4,IUPAC_large,,,c9666533
perrin1179,CN1C=CC=C(S)C1,"InChI=1S/C6H9NS/c1-7-4-2-3-6(8)5-7/h2-4,8H,5H2,1H3",pKaH1,2.25,20,C=0.005,E3bg,Approximate,A28,,,"pyridine, 3-mercapto-1-methyl-","['OPSIN_name1', 'manual_only_one']",2.0,,perrin,,AH,,,IUPAC_large,,,b3976098
perrin1180,CS(=O)(=O)Nc1ccccn1,"InChI=1S/C6H8N2O2S/c1-11(9,10)8-6-4-2-3-5-7-6/h2-5H,1H3,(H,7,8)",pKaH1,1.1,not_stated,"C=4x10-5, I not stated",O,Uncertain,J21,,,"pyridine, 2-methanesulphonamido-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,8bd8d0cb
perrin1181,CS(=O)(=O)Nc1cccnc1,"InChI=1S/C6H8N2O2S/c1-11(9,10)8-6-3-2-4-7-5-6/h2-5,8H,1H3",pKaH1,3.43,not_stated,"C=0.04, 0.02, resp",E,Uncertain,J21,,,"pyridine, 3-methanesulphonamido-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,410a1ee9
perrin1182,CS(=O)(=O)Nc1ccncc1,"InChI=1S/C6H8N2O2S/c1-11(9,10)8-6-2-4-7-5-3-6/h2-5H,1H3,(H,7,8)",pKaH1,3.64,not_stated,C=0.02,E,Uncertain,J21,,,"pyridine, 4-methanesulphonamido-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,9276f86b
perrin1183,COc1ccccn1,"InChI=1S/C6H7NO/c1-8-6-4-2-3-5-7-6/h2-5H,1H3",pKaH1,3.06,25,C=0.01,E3bg,Approximate,M62,,,"pyridine, 2-methoxy-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,6b41ba11
perrin1184,COc1cccnc1,"InChI=1S/C6H7NO/c1-8-6-3-2-4-7-5-6/h2-5H,1H3",pKaH1,4.91,25,,E3bg,Approximate,M62,,,"pyridine, 3-methoxy-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,34fc499c
perrin1185,COc1ccncc1,"InChI=1S/C6H7NO/c1-8-6-2-4-7-5-3-6/h2-5H,1H3",pKaH1,6.47,25,,E3bg,Approximate,M62,,,"pyridine, 4-methoxy-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,fc59ed03
perrin1186,COC(=O)c1ccccn1,"InChI=1S/C7H7NO2/c1-10-7(9)6-4-2-3-5-8-6/h2-5H,1H3",pKaH1,2.21,22,C between 0.05 and 0.1,E3bg,Approximate,G48,,,"pyridine, 2-methoxycarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,574c9e5b
perrin1187,COc1cncc(-c2ccccc2)c1C,"InChI=1S/C13H13NO/c1-10-12(8-14-9-13(10)15-2)11-6-4-3-5-7-11/h3-9H,1-2H3",pKaH1,5.0,,Few details,E3bg,Uncertain,M55,,,"pyridine, 3-methoxy-4-methyl-5-phenyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,a8c0fca9
perrin1188,COC(=O)c1cccnc1,"InChI=1S/C7H7NO2/c1-10-7(9)6-3-2-4-8-5-6/h2-5H,1H3",pKaH1,3.13,22,C between 0.05 and 0.1,E3bg,Approximate,G48,,,"pyridine, 3-methoxycarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,68e36fff
perrin1189,COC(=O)c1ccncc1,"InChI=1S/C7H7NO2/c1-10-7(9)6-2-4-8-5-3-6/h2-5H,1H3",pKaH1,3.26,22,C between 0.05 and 0.1,E3bg,Approximate,G48,,,"pyridine, 4-methoxycarbonyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,4644a6f8
perrin1190,COc1ccc(C#Cc2ccncc2)cc1,"InChI=1S/C14H11NO/c1-16-14-6-4-12(5-7-14)2-3-13-8-10-15-11-9-13/h4-11H,1H3",pKaH1,4.8,not_stated,"In phosphate buffers, up to 20% in ethanol",O5,Uncertain,K4,,,"pyridine, 4-p-methoxyphenylethynyl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,, ethanol,IUPAC_large,,,5d5742ee
perrin1191,COc1ccc(/C=C/c2ccncc2)cc1,"InChI=1S/C14H13NO/c1-16-14-6-4-12(5-7-14)2-3-13-8-10-15-11-9-13/h2-11H,1H3/b3-2+",pKaH1,6.03,not_stated,"In phosphate buffers, up to 20% in ethanol",O5,Uncertain,K4,," For pKs of all mono- and di-methylpyridines in 10% ethanol at 15 deg. C, see ref. I1","pyridine, trans-4-p-methoxystyryl-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,, ethanol,IUPAC_large,,,09949cd0
perrin1192,Cc1ccccn1,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",pKaH1,5.94,25,C=0.005,E3bg,Approximate,G9,," Other measurements: B135, G33","pyridine, 2-methyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,43ab788f
perrin1193,Cc1cccnc1,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",pKaH1,5.52,25,Insufficient details,E3bg,Approximate,M62,, Other measurement: G33,"pyridine, 3-methyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,d8411075
perrin1194,Cc1ccncc1,"InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",pKaH1,6.03,25,C=0.005,E3bg,Approximate,G9,," Other measurements: B135, G33","pyridine, 4-methyl-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,43707227
perrin1195,CC(=O)N(C)c1ccccn1,"InChI=1S/C8H10N2O/c1-7(11)10(2)8-5-3-4-6-9-8/h3-6H,1-2H3",pKaH1,2.01,not,C=3x10-6,O,Uncertain,J19,,,"pyridine, 2-(N-methylacetamido)-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,2a0058a5
perrin1196,CC(=O)N(C)c1cccnc1,"InChI=1S/C8H10N2O/c1-7(11)10(2)8-4-3-5-9-6-8/h3-6H,1-2H3",pKaH1,3.52,not,C=0.01,E,Uncertain,J19,,,"pyridine, 3-(N-methylacetamido)-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,cad6d19e
perrin1197,CC(=O)N(C)c1ccncc1,"InChI=1S/C8H10N2O/c1-7(11)10(2)8-3-5-9-6-4-8/h3-6H,1-2H3",pKaH1,4.62,not,C=0.01,E,Uncertain,J19,,,"pyridine, 4-(N-methylacetamido)-","['OPSIN_name1', 'chemaxon_name1']",2.0,,perrin,,AH,,,IUPAC_large,,,03ffd9df
perrin1198,CNc1ccncc1,"InChI=1S/C6H8N2/c1-7-6-2-4-8-5-3-6/h2-5H,1H3,(H,7,8)",pKaH1,10.1,5.4,I between 0.0008 and 0.0057,E3bg,Approximate,E27,Thermodynamic quantities are derived from the results,,"pyridine, 4-methylamino-","['OPSIN_name1', 'chemaxon_name1', 'pubchem_name1', 'pubchem_nickname']",4.0,,perrin,,AH,,,IUPAC_large,,,1a9e0f1c
perrin1199,CNCCc1ccccn1,"InChI=1S/C8H12N2/c1-9-7-5-8-4-2-3-6-10-8/h2-4,6,9H,5,7H2,1H3",pKaH1,10.13,10,See ref. G28,E3bg,Approximate,R12,Thermodynamic quantities are derived from the results,,"pyridine, 2-(2-methylaminoethyl)-","['OPSIN_name1', 'chemaxon_name1', 'cirpy_name1', 'pubchem_name1', 'pubchem_nickname']",5.0,,perrin,,AH,,,IUPAC_large,,,69308aea
